"position.rank","passing.yards","passing.tds","passing.interceptions","rushing.rushes","rushing.yards","rushing.tds","receiving.catches","receiving.yards","receiving.tds","total.points","passing.completions","passing.attempts","name","team","pos","rank"
49,0,0,0,112,509,7,7,45,0,92,0,0,"Jeremy Hill","CIN","RB",197
54,0,0,0,0,0,0,50,680,4,92,0,0,"Jarrett Boykin","GB","WR",197
11,0,0,0,0,0,0,66,728,5,90,0,0,"Charles Clay","MIA","TE",199
51,0,0,0,0,0,0,43,612,5,89,0,0,"Aaron Dobson","NE","WR",200
55,0,0,0,9,52,0,47,566,5,89,0,0,"Brandin Cooks","NO","WR",200
31,0,0,0,0,0,0,0,0,0,89,0,0,"Billy Cundiff","CLE","K",200
66,0,0,0,0,0,0,59,786,2,88,0,0,"Brian Hartline","MIA","WR",203
68,0,0,0,0,0,0,51,704,3,88,0,0,"Mike Williams","BUF","WR",203
14,0,0,0,0,0,0,50,646,4,88,0,0,"Zach Ertz","PHI","TE",203
67,0,0,0,0,0,0,59,699,3,87,0,0,"Jerricho Cotchery","CAR","WR",206
13,0,0,0,0,0,0,55,598,5,87,0,0,"Delanie Walker","TEN","TE",206
33,0,0,0,0,0,0,0,0,0,87,0,0,"Maikon Bonani","TEN","K",206
56,0,0,0,53,216,2,52,395,3,86,0,0,"Roy Helu","WSH","RB",209
57,0,0,0,2,12,0,42,609,4,85,0,0,"Brandon LaFell","NE","WR",210
59,0,0,0,0,0,0,43,671,3,85,0,0,"Denarius Moore","OAK","WR",210
52,0,0,0,13,121,1,46,524,3,84,0,0,"Tavon Austin","STL","WR",212
56,0,0,0,6,25,0,62,645,3,84,0,0,"Andrew Hawkins","CLE","WR",212
62,0,0,0,7,56,0,47,554,4,84,0,0,"Marvin Jones","CIN","WR",212
15,0,0,0,0,0,0,54,604,4,84,0,0,"Antonio Gates","SD","TE",212
43,0,0,0,140,519,5,6,41,0,83,0,0,"Shonn Greene","TEN","RB",216
58,0,0,0,2,14,0,52,646,3,83,0,0,"Doug Baldwin","SEA","WR",216
42,0,0,0,110,504,3,20,163,0,82,0,0,"Tre Mason","STL","RB",218
45,0,0,0,115,470,3,21,191,0,82,0,0,"Lamar Miller","MIA","RB",218
60,0,0,0,0,0,0,53,588,4,82,0,0,"Markus Wheaton","PIT","WR",218
63,0,0,0,3,24,0,34,563,4,82,0,0,"Kenny Stills","NO","WR",218
64,0,0,0,2,17,0,43,597,4,82,0,0,"Marqise Lee","JAC","WR",218
16,0,0,0,0,0,0,38,584,4,82,0,0,"Ladarius Green","SD","TE",218
53,0,0,0,0,0,0,48,590,4,81,0,0,"Steve Johnson","SF","WR",224
65,0,0,0,3,15,0,37,586,4,81,0,0,"Odell Beckham","NYG","WR",224
69,0,0,0,3,17,0,40,545,4,79,0,0,"Andre Roberts","WSH","WR",226
44,0,0,0,108,443,4,17,123,0,78,0,0,"Darren McFadden","OAK","RB",227
61,0,0,0,2,17,0,44,617,3,78,0,0,"Rod Streater","OAK","WR",227
77,0,0,0,0,0,0,47,691,2,77,0,0,"Kelvin Benjamin","CAR","WR",229
46,0,0,0,139,531,3,12,77,0,76,0,0,"Mark Ingram","NO","RB",230
73,0,0,0,0,0,0,56,657,2,75,0,0,"Harry Douglas","ATL","WR",231
19,0,0,0,0,0,0,61,632,2,75,0,0,"Heath Miller","PIT","TE",231
70,0,0,0,0,0,0,37,525,4,74,0,0,"Kenny Britt","STL","WR",233
89,0,0,0,4,31,0,41,671,1,74,0,0,"Chris Givens","STL","WR",233
60,0,0,0,92,330,2,29,224,1,73,0,0,"Jordan Todman","JAC","RB",235
73,0,0,0,74,273,4,29,167,1,73,0,0,"Mike Tolbert","CAR","RB",235
71,0,0,0,0,0,0,46,572,3,73,0,0,"Jerome Simpson","MIN","WR",235
72,0,0,0,2,11,0,40,545,3,73,0,0,"Robert Woods","BUF","WR",235
17,0,0,0,0,0,0,37,433,5,73,0,0,"Coby Fleener","IND","TE",235
39,0,0,0,92,418,3,22,177,0,72,0,0,"David Wilson","NYG","RB",240
79,0,0,0,43,177,0,53,476,2,72,0,0,"Dexter McCluster","TEN","WR",240
80,0,0,0,0,0,0,29,449,5,72,0,0,"Sidney Rice","SEA","WR",240
82,0,0,0,5,19,0,51,616,2,72,0,0,"Jeremy Kerley","NYJ","WR",240
87,0,0,0,0,0,0,39,600,2,72,0,0,"Nate Washington","TEN","WR",240
48,0,0,0,84,375,2,22,169,1,71,0,0,"Donald Brown","SD","RB",245
75,0,0,0,0,0,0,39,538,3,71,0,0,"Kenbrell Thompkins","NE","WR",245
18,0,0,0,0,0,0,33,476,4,71,0,0,"Eric Ebron","DET","TE",245
26,0,0,0,0,0,0,47,537,3,71,0,0,"Jared Cook","STL","TE",245
55,0,0,0,127,511,2,20,115,0,70,0,0,"C.J. Anderson","DEN","RB",249
78,0,0,0,0,0,0,50,602,2,70,0,0,"Lance Moore","PIT","WR",249
59,0,0,0,104,395,4,10,80,0,69,0,0,"Terrance West","CLE","RB",251
21,0,0,0,0,0,0,45,505,3,68,0,0,"Tyler Eifert","CIN","TE",252
