"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Devonta Freeman",4300,"Phi@Atl 07:10PM ET",5.519,"Atl"
"WR","Marqise Lee",4300,"Car@Jax 01:00PM ET",6.623,"Jax"
"RB","Bishop Sankey",4300,"Ten@TB 04:25PM ET",6.138,"Ten"
"WR","James Jones",4200,"NYG@Dal 08:30PM ET",11.100,"NYG"
"TE","Antonio Gates",4200,"Det@SD 04:05PM ET",13.944,"SD"
"WR","Brian Quick",4200,"Sea@StL 01:00PM ET",11.500,"StL"
"RB","Shane Vereen",4200,"NYG@Dal 08:30PM ET",10.089,"NYG"
"WR","Marvin Jones",4200,"Cin@Oak 04:25PM ET",0,"Cin"
"WR","Justin Hunter",4200,"Ten@TB 04:25PM ET",7.983,"Ten"
"RB","Chris Ivory",4100,"Cle@NYJ 01:00PM ET",9.963,"NYJ"
"WR","DeVante Parker",4100,"Mia@Was 01:00PM ET",0,"Mia"
"TE","Jason Witten",4000,"NYG@Dal 08:30PM ET",10.483,"Dal"
"WR","Terrance Williams",4000,"NYG@Dal 08:30PM ET",10.117,"Dal"
"WR","Allen Hurns",4000,"Car@Jax 01:00PM ET",10.044,"Jax"
"RB","Ameer Abdullah",4000,"Det@SD 04:05PM ET",0,"Det"
"RB","Reggie Bush",3900,"Min@SF 10:20PM ET",10.058,"SF"
"WR","Eddie Royal",3900,"GB@Chi 01:00PM ET",11.575,"Chi"
"RB","Fred Jackson",3900,"Ind@Buf 01:00PM ET",13.471,"Buf"
"RB","Montee Ball",3900,"Bal@Den 04:25PM ET",7.480,"Den"
"WR","Dorial Green-Beckham",3900,"Ten@TB 04:25PM ET",0,"Ten"
"WR","Reggie Wayne",3800,"Ind@Buf 01:00PM ET",8.783,"Ind"
"TE","Jordan Cameron",3800,"Mia@Was 01:00PM ET",8.140,"Mia"
"RB","Charles Sims",3800,"Ten@TB 04:25PM ET",7.688,"TB"
"RB","David Johnson",3800,"NO@Ari 04:05PM ET",0,"Ari"
"WR","Chris Conley",3800,"KC@Hou 01:00PM ET",0,"KC"
"WR","Devin Funchess",3800,"Car@Jax 01:00PM ET",0,"Car"
"WR","Jaelen Strong",3800,"KC@Hou 01:00PM ET",0,"Hou"
"WR","Stevie Johnson",3700,"Det@SD 04:05PM ET",7.654,"SD"
"RB","Danny Woodhead",3700,"Det@SD 04:05PM ET",4.067,"SD"
"TE","Charles Clay",3700,"Ind@Buf 01:00PM ET",9.964,"Buf"
"WR","Jermaine Kearse",3700,"Sea@StL 01:00PM ET",7.958,"Sea"
"WR","Cody Latimer",3700,"Bal@Den 04:25PM ET",0.538,"Den"
"RB","Matt Jones",3700,"Mia@Was 01:00PM ET",0,"Was"
"RB","James Starks",3600,"GB@Chi 01:00PM ET",4.683,"GB"
"RB","Ray Rice",3600,"Bal@Den 04:25PM ET",0,"Bal"
"WR","Nick Toon",3600,"NO@Ari 04:05PM ET",5.488,"NO"
"RB","Robert Turbin",3600,"Sea@StL 01:00PM ET",4.450,"Sea"
"RB","Ryan Mathews",3600,"Phi@Atl 07:10PM ET",11.650,"Phi"
"RB","Knile Davis",3600,"KC@Hou 01:00PM ET",8.063,"KC"
"TE","Zach Ertz",3600,"Phi@Atl 07:10PM ET",9.263,"Phi"
"RB","Alfred Blue",3600,"KC@Hou 01:00PM ET",6.256,"Hou"
"WR","Cecil Shorts III",3600,"KC@Hou 01:00PM ET",9.614,"Hou"
"RB","Terrance West",3600,"Cle@NYJ 01:00PM ET",8.336,"Cle"
"WR","Phillip Dorsett",3600,"Ind@Buf 01:00PM ET",0,"Ind"
"RB","Pierre Thomas",3500,"NO@Ari 04:05PM ET",11.182,"NO"
"WR","Devin Hester",3500,"Phi@Atl 07:10PM ET",7.188,"Atl"
"WR","Wes Welker",3500,"Bal@Den 04:25PM ET",7.360,"Den"
"WR","Andrew Hawkins",3500,"Cle@NYJ 01:00PM ET",10.793,"Cle"
"RB","Fozzy Whittaker",3500,"Car@Jax 01:00PM ET",4.075,"Car"
"RB","Jacquizz Rodgers",3500,"GB@Chi 01:00PM ET",5.000,"Chi"
"TE","Ladarius Green",3500,"Det@SD 04:05PM ET",2.971,"SD"
"TE","Kyle Rudolph",3500,"Min@SF 10:20PM ET",6.567,"Min"
"RB","Branden Oliver",3500,"Det@SD 04:05PM ET",10.807,"SD"
"TE","Tyler Eifert",3500,"Cin@Oak 04:25PM ET",6.700,"Cin"
"WR","Robert Woods",3500,"Ind@Buf 01:00PM ET",10.556,"Buf"
"WR","Marquess Wilson",3500,"GB@Chi 01:00PM ET",5.286,"Chi"
"RB","Javorius Allen",3500,"Bal@Den 04:25PM ET",0,"Bal"
"RB","Damien Williams",3500,"Mia@Was 01:00PM ET",3.619,"Mia"
"RB","Cameron Artis-Payne",3500,"Car@Jax 01:00PM ET",0,"Car"
"DST","Seahawks ",3400,"Sea@StL 01:00PM ET",9.278,"Sea"
"TE","Owen Daniels",3400,"Bal@Den 04:25PM ET",8.812,"Den"
"TE","Delanie Walker",3400,"Ten@TB 04:25PM ET",12.133,"Ten"
"RB","Steven Jackson",3400,"Phi@Atl 07:10PM ET",9.633,"Atl"
"RB","Toby Gerhart",3400,"Car@Jax 01:00PM ET",5.871,"Jax"
"RB","Stevan Ridley",3400,"Cle@NYJ 01:00PM ET",9.667,"NYJ"
"RB","Kendall Hunter",3400,"Min@SF 10:20PM ET",0,"SF"
"RB","Daniel Herron",3400,"Ind@Buf 01:00PM ET",7.274,"Ind"
"TE","Coby Fleener",3400,"Ind@Buf 01:00PM ET",10.479,"Ind"
"WR","Cole Beasley",3400,"NYG@Dal 08:30PM ET",6.561,"Dal"
"TE","Dwayne Allen",3400,"Ind@Buf 01:00PM ET",8.906,"Ind"
"TE","Josh Hill",3400,"NO@Ari 04:05PM ET",3.850,"NO"
"RB","David Cobb",3400,"Ten@TB 04:25PM ET",0,"Ten"
"RB","Jay Ajayi",3400,"Mia@Was 01:00PM ET",0,"Mia"
"TE","Austin Seferian-Jenkins",3400,"Ten@TB 04:25PM ET",6.011,"TB"
"RB","Lorenzo Taliaferro",3400,"Bal@Den 04:25PM ET",5.508,"Bal"
"RB","Darren Sproles",3300,"Phi@Atl 07:10PM ET",10.773,"Phi"
"WR","Andre Caldwell",3300,"Bal@Den 04:25PM ET",0.571,"Den"
"WR","Brian Hartline",3300,"Cle@NYJ 01:00PM ET",6.150,"Cle"
"RB","Dexter McCluster",3300,"Ten@TB 04:25PM ET",4.557,"Ten"
"WR","Kamar Aiken",3300,"Bal@Den 04:25PM ET",4.389,"Bal"
"WR","Mohamed Sanu",3300,"Cin@Oak 04:25PM ET",11.256,"Cin"
"RB","Trent Richardson",3300,"Cin@Oak 04:25PM ET",7.425,"Oak"
"TE","Jordan Reed",3300,"Mia@Was 01:00PM ET",8.955,"Was"
"RB","Theo Riddick",3300,"Det@SD 04:05PM ET",6.840,"Det"
"WR","Tavon Austin",3300,"Sea@StL 01:00PM ET",6.373,"StL"
"RB","Jerick McKinnon",3300,"Min@SF 10:20PM ET",9.118,"Min"
"DST","Bengals ",3200,"Cin@Oak 04:25PM ET",6.353,"Cin"
"RB","Chris Johnson",3200,"NO@Ari 04:05PM ET",7.463,"Ari"
"WR","Andre Roberts",3200,"Mia@Was 01:00PM ET",5.838,"Was"
"TE","Larry Donnell",3200,"NYG@Dal 08:30PM ET",9.831,"NYG"
"RB","Zac Stacy",3200,"Cle@NYJ 01:00PM ET",5.115,"NYJ"
"RB","Mike Davis",3200,"Min@SF 10:20PM ET",0,"SF"
"DST","Browns ",3100,"Cle@NYJ 01:00PM ET",8.188,"Cle"
"DST","Panthers ",3100,"Car@Jax 01:00PM ET",7.222,"Car"
"TE","Vernon Davis",3100,"Min@SF 10:20PM ET",4.493,"SF"
"RB","Knowshon Moreno",3100,"Mia@Was 01:00PM ET",8.533,"Mia"
"DST","Texans ",3000,"KC@Hou 01:00PM ET",10.875,"Hou"
"DST","Packers ",3000,"GB@Chi 01:00PM ET",9.389,"GB"
"DST","Chiefs ",3000,"KC@Hou 01:00PM ET",7.500,"KC"
"DST","Dolphins ",3000,"Mia@Was 01:00PM ET",8.125,"Mia"
"WR","Josh Cribbs",3000,"Ind@Buf 01:00PM ET",0.089,"Ind"
"WR","Lance Moore",3000,"Det@SD 04:05PM ET",3.414,"Det"
"RB","Maurice Jones-Drew",3000,"Car@Jax 01:00PM ET",2.308,"Jax"
"WR","Jason Avant",3000,"KC@Hou 01:00PM ET",4.713,"KC"
"WR","Santonio Holmes",3000,"GB@Chi 01:00PM ET",1.633,"Chi"
"WR","Miles Austin",3000,"Phi@Atl 07:10PM ET",9.650,"Phi"
"WR","Nate Washington",3000,"KC@Hou 01:00PM ET",7.481,"Hou"
"RB","Tyler Clutts",3000,"NYG@Dal 08:30PM ET",0.456,"Dal"
"WR","Harry Douglas",3000,"Ten@TB 04:25PM ET",10.550,"Ten"
"WR","Eric Weems",3000,"Phi@Atl 07:10PM ET",2.013,"Atl"
"WR","Jerricho Cotchery",3000,"Car@Jax 01:00PM ET",7.318,"Car"
"WR","Josh Morgan",3000,"NO@Ari 04:05PM ET",1.857,"NO"
"WR","Ted Ginn Jr.",3000,"Car@Jax 01:00PM ET",2.294,"Car"
"RB","Jerome Felton",3000,"Ind@Buf 01:00PM ET",0.544,"Buf"
"RB","Tim Hightower",3000,"NO@Ari 04:05PM ET",0,"NO"
"RB","Shonn Greene",3000,"Ten@TB 04:25PM ET",4.038,"Ten"
"WR","Marcus Thigpen",3000,"Ind@Buf 01:00PM ET",0.556,"Buf"
"RB","Ahmad Bradshaw",3000,"Ind@Buf 01:00PM ET",15.650,"Ind"
"RB","Cedric Peerman",3000,"Cin@Oak 04:25PM ET",0.588,"Cin"
"RB","Chris Ogbonnaya",3000,"NYG@Dal 08:30PM ET",1.571,"NYG"
"WR","Jerome Simpson",3000,"Min@SF 10:20PM ET",0,"SF"
"RB","Mike Tolbert",3000,"Car@Jax 01:00PM ET",4.030,"Car"
"RB","Jed Collins",3000,"NYG@Dal 08:30PM ET",0.994,"Dal"
"RB","John Kuhn",3000,"GB@Chi 01:00PM ET",1.361,"GB"
"WR","Seyi Ajirotutu",3000,"Phi@Atl 07:10PM ET",0.531,"Phi"
"WR","Marlon Moore",3000,"Cle@NYJ 01:00PM ET",0.000,"Cle"
"WR","Brandon Tate",3000,"Cin@Oak 04:25PM ET",2.553,"Cin"
"RB","Darrel Young",3000,"Mia@Was 01:00PM ET",3.206,"Was"
"WR","Louis Murphy",3000,"Ten@TB 04:25PM ET",7.636,"TB"
"RB","Antone Smith",3000,"Phi@Atl 07:10PM ET",7.860,"Atl"
"RB","Donald Brown",3000,"Det@SD 04:05PM ET",5.569,"SD"
